Wine_Id,product_link,image_link
81,https://labodega.consum.es/tintos/copdevent-075l,https://labodega.consum.es/public/Image/2018/3/7260685_normal.png
82,https://labodega.consum.es/vino-roble-dehesas-viejas,https://labodega.consum.es/public/Image/2019/1/7096253_DehesasViejasRoble.png_normal.jpg
83,https://labodega.consum.es/tintos/faustinoi-075l,https://labodega.consum.es/public/Image/2018/3/7186708_normal.png
84,https://labodega.consum.es/tintos/santes-075l,https://labodega.consum.es/public/Image/2018/3/7276178_normal.png
85,https://labodega.consum.es/tintos/jardins-075l,https://labodega.consum.es/public/Image/2018/5/jardins_negre_normal.jpg
86,https://labodega.consum.es/tintos/hecula-075l,https://labodega.consum.es/public/Image/2018/3/7181316_normal.png
87,https://labodega.consum.es/tintos/barondeturis-075l10,https://labodega.consum.es/public/Image/2018/3/339911_normal.png
88,https://labodega.consum.es/tintos/grancastillo-075l,https://labodega.consum.es/public/Image/2018/3/7216419_normal.png
89,https://labodega.consum.es/tintos/alcanta-075l,https://labodega.consum.es/public/Image/2018/3/7052884_normal.png
90,https://labodega.consum.es/tintos/mestizaje-075l,https://labodega.consum.es/public/Image/2018/3/7204613_normal.png
91,https://labodega.consum.es/tintos/flavium-075l,https://labodega.consum.es/public/Image/2018/3/7251577_normal.png
92,https://labodega.consum.es/vol-i-dol,https://labodega.consum.es/public/Image/2019/4/7329147volidolnegre_normal.jpg
93,https://labodega.consum.es/castillo-de-albai-reserva,https://labodega.consum.es/public/Image/2018/11/albaireserva.png_normal.jpg
94,https://labodega.consum.es/tintos/castillodelliria-075l,https://labodega.consum.es/public/Image/2018/3/4558797_normal.png
95,https://labodega.consum.es/tintos/viadelmar-075l,https://labodega.consum.es/public/Image/2018/3/152066_normal.png
96,https://labodega.consum.es/tintos/gr-174-075l,https://labodega.consum.es/public/Image/2018/3/7272235_normal.png
97,https://labodega.consum.es/vi-negre-bot-terra-alta,https://labodega.consum.es/public/Image/2017/12/7205557.png_normal.jpg
98,https://labodega.consum.es/tinto-seleccion-marques-del-atrio,https://labodega.consum.es/public/Image/2019/5/7329725TintoMarqusdelAtrio.png_normal.jpg
99,https://labodega.consum.es/yllera,https://labodega.consum.es/public/Image/2018/11/Yllera.png_normal.jpg
100,https://labodega.consum.es/tintos/etim-075l,https://labodega.consum.es/public/Image/2018/3/7275733_normal.png
101,https://labodega.consum.es/vino-arienzo,https://labodega.consum.es/public/Image/2019/6/7336779Arienzo.png_normal.jpg
